"activity_id","case","activity_type","activity_status","model","model_status","interface","interface_status","reasoning","reasoning_status","model_parameters","model_parameters_status","generation_date","generation_date_status","session_id","session_id_status","prompt_or_input_path","prompt_or_input_sha256","response_path","response_sha256","output_artifact_path","output_artifact_sha256","artifact_origin","researcher_decision","automated_verification","evidence_path","evidence_sha256","notes"
"AI-CT07-GEN-DS-JL","CT07","model_generation","confirmed","DeepSeek v4 Pro","confirmed","Claude Code CLI via ccswitch","confirmed","High","confirmed","not_available","not_available","not_available","not_available","not_available","not_available","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/deepseek_julia/prompt.md","e9dbbdbdb68acefc3e30c4db21c90efb5eb7a022d8788fba9c0c27092e072967","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/deepseek_julia/response.md","23fa1e272a5db135fc8b3d2ace604fd4d45d140c12458e550b77873ac04c1ae1","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/deepseek_julia/original_generation.jl","b4569be3c959cae6cafda9122ca4060fb2a2c18a12ee12ba055ad7892ae298d6","direct_historical_file","Common CT07 migration request and later MATLAB-oracle validation contract","Candidate evidence integrity test and later MATLAB comparison","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidate_manifest.json","8657d7b0e966ecaaeb8451269c142a01930047c24b003a52c97f34b1c6ac93fa","Original-generation activity is evidenced; generation date and session ID are not retained."
"AI-CT07-GEN-DS-PY","CT07","model_generation","confirmed","DeepSeek v4 Pro","confirmed","Claude Code CLI via ccswitch","confirmed","XHigh","confirmed","not_available","not_available","not_available","not_available","not_available","not_available","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/deepseek_python/prompt.md","c17d27bee43ba6e5663055fc40d7ba656370849d01e5d0a0fae7295ad1bd6498","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/deepseek_python/response.md","d01a0d485c354ef85d495badfc79d16a1f6395e397a4bccb042ffd2ea5f7bd60","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/deepseek_python/original_generation.py","c76666e7d7b87f2d7974d62e0d41e35ec6f57c859e85fe691dd7fb0e5591d72e","direct_historical_file","Common CT07 migration request and later MATLAB-oracle validation contract","Candidate evidence integrity test and later MATLAB comparison","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidate_manifest.json","8657d7b0e966ecaaeb8451269c142a01930047c24b003a52c97f34b1c6ac93fa","Original-generation activity is evidenced; generation date and session ID are not retained."
"AI-CT07-GEN-GEM-JL","CT07","model_generation","confirmed","Gemini 3.1 Pro","confirmed","Antigravity CLI","confirmed","High","confirmed","not_available","not_available","not_available","not_available","not_available","not_available","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/gemini_julia/prompt.md","d8ac73ab41651079fcefd29d87ba4a885d2cfe287562958c04314297904ebc0e","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/gemini_julia/response.md","6c7e1dd51168f537af2acd48b2de04a2876c0cd85f998f169ede66a4cdb5a9fd","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/gemini_julia/original_generation.jl","d64bd6e547783fdfd1c8059c82966e42528414f1f023914cc04396f8dee9ae30","direct_historical_file","Common CT07 migration request and later MATLAB-oracle validation contract","Candidate evidence integrity test and later MATLAB comparison","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidate_manifest.json","8657d7b0e966ecaaeb8451269c142a01930047c24b003a52c97f34b1c6ac93fa","Original-generation activity is evidenced; generation date and session ID are not retained."
"AI-CT07-GEN-GEM-PY","CT07","model_generation","confirmed","Gemini 3.1 Pro","confirmed","Antigravity CLI","confirmed","High","confirmed","not_available","not_available","not_available","not_available","not_available","not_available","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/gemini_python/prompt.md","a4e516e26471b5ff1ee0db1eb1bcde39abc24d7fd23d80d0b45e86ffbd2b1ea0","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/gemini_python/response.md","ebfda39c3150f7ca4d5d70e8930d8bffd07ae7f7cd8c1e410f19305dcf194daa","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/gemini_python/original_generation.py","76c5fc095e4829f00970f6958a0d6c4d335f33714f7bdb676126948bc3d66f88","direct_historical_file","Common CT07 migration request and later MATLAB-oracle validation contract","Candidate evidence integrity test and later MATLAB comparison","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidate_manifest.json","8657d7b0e966ecaaeb8451269c142a01930047c24b003a52c97f34b1c6ac93fa","Original-generation activity is evidenced; generation date and session ID are not retained."
"AI-CT07-GEN-GPT-JL","CT07","model_generation","confirmed","GPT-5.5","confirmed","Codex CLI","confirmed","XHigh","confirmed","not_available","not_available","not_available","not_available","not_available","not_available","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/gpt55_julia/prompt.md","1c5d4c80741ac1280b6a5ec0d41cb5a925e6c7b53470af8db0a39c4f732a225c","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/gpt55_julia/response.md","eb140e47db840a99040f456e36ff93a7564e580e4f0670e340fd3fd1876247b0","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/gpt55_julia/original_generation.jl","f412a103418f8a5a631f7d039496cc7a716a2ceaaa251ce73cf42f65186becad","direct_historical_file","Common CT07 migration request and later MATLAB-oracle validation contract","Candidate evidence integrity test and later MATLAB comparison","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidate_manifest.json","8657d7b0e966ecaaeb8451269c142a01930047c24b003a52c97f34b1c6ac93fa","Historical filename max does not change the manifest label XHigh."
"AI-CT07-GEN-GPT-PY","CT07","model_generation","confirmed","GPT-5.5","confirmed","Codex CLI","confirmed","XHigh","confirmed","not_available","not_available","not_available","not_available","not_available","not_available","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/gpt55_python/prompt.md","e28069d3b05fe3d9066c85c05110cad4d82365d4ff426982588f27b13b97713c","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/gpt55_python/response.md","dbb904d34c90d2a5568425a6aaa521eb29947a08e5965b3b8518e6d5868c3877","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/gpt55_python/original_generation.py","c13a2e082b1e1f9fbb92fb7f8a1ebfd48834d0092976f005a0f590a57e738595","reconstructed_from_record","Common CT07 migration request and later MATLAB-oracle validation contract","Candidate evidence integrity test and later MATLAB comparison","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidate_manifest.json","8657d7b0e966ecaaeb8451269c142a01930047c24b003a52c97f34b1c6ac93fa","Original byte-exact source file is not_available; reconstruction is explicitly labelled."
"AI-CT07-GEN-SON-JL","CT07","model_generation","confirmed","Claude Sonnet 4.6","confirmed","Claude Code Desktop","confirmed","High","confirmed","not_available","not_available","not_available","not_available","not_available","not_available","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/sonnet_julia/prompt.md","d8ac73ab41651079fcefd29d87ba4a885d2cfe287562958c04314297904ebc0e","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/sonnet_julia/response.md","0ccc06b3c5dfdd7a6c14092a5014e5b2fdb9a766248c65c0fc6e05da02b4818e","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/sonnet_julia/original_generation.jl","6ed1181cace171ae6a0bb2afb8f3cf547e0a798dadd2897d0017a6db61fb7132","reconstructed_from_record","Common CT07 migration request and later MATLAB-oracle validation contract","Candidate evidence integrity test and later MATLAB comparison","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidate_manifest.json","8657d7b0e966ecaaeb8451269c142a01930047c24b003a52c97f34b1c6ac93fa","Original byte-exact source file is not_available; reconstruction is explicitly labelled."
"AI-CT07-GEN-SON-PY","CT07","model_generation","confirmed","Claude Sonnet 4.6","confirmed","Claude Code Desktop","confirmed","High","confirmed","not_available","not_available","not_available","not_available","not_available","not_available","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/sonnet_python/prompt.md","a4e516e26471b5ff1ee0db1eb1bcde39abc24d7fd23d80d0b45e86ffbd2b1ea0","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/sonnet_python/response.md","cbfbdb031c7f0da910b526341ac2000556c8c56ac12f27b21cafb91cdd034404","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidates/sonnet_python/original_generation.py","2d7e5518cd91d36d4a58ead866343af4de292f53f585d3cd2ad55b6025b6996f","reconstructed_from_record","Common CT07 migration request and later MATLAB-oracle validation contract","Candidate evidence integrity test and later MATLAB comparison","CT07-PeakFreq-Validation/results/ct07/llm-validation/evidence/candidate_manifest.json","8657d7b0e966ecaaeb8451269c142a01930047c24b003a52c97f34b1c6ac93fa","Original byte-exact source file is not_available; reconstruction is explicitly labelled."
"AI-DTA-GEN-M","DTA","model_generation","confirmed","GPT-5.5","confirmed","Codex CLI 0.140.0","confirmed","xhigh","confirmed","not_available","not_available","2026-07-27T21:37:31Z","confirmed","019fa582-f69b-7061-878e-afb14d409ac4","confirmed","MistrasDTAJulia/experiments/frozen_prompt.md","70c8dcbd741c0ecdbbf9d1b4e3625843260e4060c97bb68e79b19893dc73fd81","MistrasDTAJulia/experiments/matlab_source_raw_response.txt","268988d6a80836f839676b70d24cb500b13bde15cd39d089bebe895136bfd6ec","MistrasDTAJulia/experiments/matlab_source_candidate.jl","268988d6a80836f839676b70d24cb500b13bde15cd39d089bebe895136bfd6ec","byte_exact_generated_candidate","Isolated MATLAB-source visibility and candidate freeze before execution","First run retained as a failed combined capture; candidate not selected","MistrasDTAJulia/experiments/experiment_evidence.toml","62236cdbfe32d79caa8bccafd5f356171400ee12e3b871c7be9f5e967b5be432","Invocation prompt SHA d1dc99fe5e3b6bbed9e0c4265e22bd0e920e7ca0738cadbb6391cb63d78edcf3; platform system instructions not_available."
"AI-DTA-GEN-P","DTA","model_generation","confirmed","GPT-5.5","confirmed","Codex CLI 0.140.0","confirmed","xhigh","confirmed","not_available","not_available","2026-07-27T21:46:44Z","confirmed","019fa58b-67a9-7f83-9bd1-34b4e6336a87","confirmed","MistrasDTAJulia/experiments/frozen_prompt.md","70c8dcbd741c0ecdbbf9d1b4e3625843260e4060c97bb68e79b19893dc73fd81","MistrasDTAJulia/experiments/python_source_raw_response.txt","fa0bbe3c33d3752406ae719d0adc745a4d5a51a820a4612a8d576920522dddf1","MistrasDTAJulia/experiments/python_source_candidate.jl","fa0bbe3c33d3752406ae719d0adc745a4d5a51a820a4612a8d576920522dddf1","byte_exact_generated_candidate","Isolated Python-source visibility and candidate freeze before execution","First run retained as successful 8-hit and 8-waveform traversal; final reader was later validated separately","MistrasDTAJulia/experiments/experiment_evidence.toml","62236cdbfe32d79caa8bccafd5f356171400ee12e3b871c7be9f5e967b5be432","Invocation prompt SHA d1dc99fe5e3b6bbed9e0c4265e22bd0e920e7ca0738cadbb6391cb63d78edcf3; platform system instructions not_available."
